"姓名" "年龄" "身高" "体重" "俱乐部" "位置" "惯用脚" "逆足能力" "花式技巧" "国际声誉" "传中" "射术" "头球精度" "短传" "凌空" "盘带" "弧线" "任意球精度" "长传" "控球" "加速" "速度" "敏捷" "移动反应" "平衡" "射门力量" "弹跳" "体能" "强壮" "远射" "侵略性" "拦截意识" "跑位" "视野" "点球" "沉着" "盯人" "抢断" "铲球" "鱼跃" "手形" "开球" "站位" "守门反应" "联赛" "球队位置" "综合能力"
"Mikel González de Martín Martínez" 30 190.5 174 "皇家社会" "主力替补" "右脚" 4 2 2 52 33 74 63 41 44 44 50 53 54 36 33 34 70 34 62 64 59 86 31 78 73 42 40 49 70 80 81 79 12 16 6 10 14 "西甲" "替补" 73
"Javier Manquillo Gaitán" 22 180.34 159 "桑德兰" "主力替补" "右脚" 3 2 1 79 32 63 73 37 71 75 51 66 73 82 78 74 69 64 69 68 89 66 44 67 69 69 39 46 64 73 78 75 14 7 14 12 13 "其他" "替补" 74
"Jairo Samperio Bustara" 22 172.72 152 "美因茨" "主力替补" "右脚" 4 3 2 72 68 49 75 60 80 71 60 67 75 87 86 84 75 86 69 73 68 50 68 54 29 74 71 68 68 29 31 28 10 11 16 10 12 "德甲" "替补" 75
"Jesús Gámez Duarte" 31 182.88 170 "纽卡斯尔联" "主力替补" "右脚" 3 2 2 78 37 63 64 44 63 65 51 66 74 64 76 58 73 57 84 77 78 82 51 86 79 47 49 53 74 79 81 78 9 11 9 15 11 "英超" "替补" 72
"Alexis Ruano Delgado" 30 182.88 165 "阿拉维斯" "主力替补" "右脚" 3 2 1 57 22 80 75 40 48 49 43 63 63 55 62 57 63 58 67 76 68 79 24 82 72 53 48 30 74 76 75 73 16 8 13 10 13 "西甲" "替补" 76
"Diego Castro Giménez" 33 175.26 157 "珀斯光荣" "左中场" "右脚" 4 4 2 78 72 55 69 68 82 81 72 64 80 75 70 72 80 82 73 69 56 55 73 65 45 80 76 89 81 35 42 40 8 6 16 8 13 "其他" "中场" 75
"Alejandro Gálvez Jimena" 27 187.96 174 "埃瓦尔" "主力替补" "右脚" 3 2 2 39 29 73 74 41 54 47 58 71 64 50 53 51 72 55 53 61 72 84 36 87 74 47 50 44 69 74 77 76 8 12 11 6 9 "其他" "替补" 76
"Víctor Vázquez Solsona" 29 175.26 168 "多伦多FC" "左中中场" "右脚" 3 3 1 75 66 38 80 69 78 79 74 78 81 55 39 69 80 74 69 40 69 58 72 55 52 77 82 72 80 36 50 28 8 16 8 15 8 "其他" "中场" 77
"Abraham González Casanova" 30 177.8 176 "国立自治大学美洲狮" "右中中场" "右脚" 4 3 1 72 59 47 85 47 65 81 72 82 74 66 59 63 70 59 77 33 78 61 73 70 70 64 77 63 60 70 71 66 10 8 6 11 10 "其他" "中场" 74
"Àngel Rangel Zaragoza" 33 180.34 181 "斯旺西" "主力替补" "右脚" 3 3 2 80 56 76 70 43 73 63 57 71 75 64 55 68 75 55 66 75 75 76 59 68 82 65 71 59 80 78 80 77 13 16 8 6 6 "其他" "替补" 73
"Joel Robles Blázquez" 26 195.58 198 "埃弗顿" "守门员" "右脚" 2 1 1 12 11 12 15 13 15 11 20 26 25 49 52 47 67 41 36 64 30 72 11 23 22 16 38 15 37 15 11 14 78 75 75 75 77 "英超" "守门员" 74
"Roger Martí Salvador" 25 177.8 163 "莱万特" "中锋" "右脚" 3 2 1 66 75 69 68 78 73 41 46 48 76 82 84 81 72 77 80 75 76 72 68 65 23 81 64 76 70 16 35 28 15 13 15 14 8 "西甲" "前场" 76
"Alejandro Pozuelo Melero" 24 170.18 139 "KRC亨克" "前腰" "右脚" 4 3 1 64 64 39 83 62 77 77 72 68 80 62 60 76 76 82 64 60 77 50 76 52 62 74 82 66 75 47 52 40 10 8 14 10 8 "其他" "中场" 76
"Andrés Eduardo Fernández Moreno" 29 182.88 190 "比利亚雷亚尔" "守门员" "右脚" 3 1 1 17 13 12 35 23 14 24 12 40 18 58 55 57 75 65 22 82 43 74 22 40 26 14 41 21 53 11 14 15 80 71 68 72 79 "西甲" "守门员" 76
"Iago Herrerín Buisán" 28 187.96 196 "莱加内斯" "守门员" "右脚" 3 1 1 14 23 14 16 15 19 15 12 29 12 45 34 54 68 55 22 62 42 80 16 37 23 16 40 25 15 15 16 12 76 86 66 73 71 "其他" "守门员" 79
"Pablo Hernández Domínguez" 31 172.72 159 "利兹联" "前腰" "右脚" 3 4 2 75 67 53 72 65 81 81 77 69 82 74 75 80 68 80 76 67 65 51 77 54 49 72 78 72 80 42 47 36 13 16 9 9 7 "英超" "中场" 73
"Santiago Mina Lorenzo" 20 177.8 157 "瓦伦西亚" "主力替补" "右脚" 3 3 1 73 80 59 69 68 78 69 55 65 77 80 80 75 80 75 75 72 75 67 69 59 58 80 57 59 69 58 41 49 9 8 14 8 15 "其他" "替补" 77
"David Timor Copoví" 26 185.42 170 "莱加内斯" "左后腰" "左脚" 3 2 1 55 44 59 80 40 64 77 81 77 73 54 56 55 66 52 83 78 79 77 75 80 78 56 70 69 68 64 76 67 8 8 6 16 13 "其他" "中场" 76
"Samuel García Sánchez" 26 177.8 161 "莱加内斯" "主力替补" "右脚" 4 3 1 80 69 63 73 61 74 83 48 75 77 77 78 75 76 69 73 59 65 66 64 48 33 76 77 63 56 16 27 21 9 10 8 13 8 "其他" "替补" 74
"Esteban Félix Granero Molina" 28 180.34 165 "皇家社会" "主力替补" "右脚" 4 3 2 78 66 59 83 58 72 80 76 82 78 60 55 69 74 67 78 57 53 68 73 73 69 61 78 73 70 51 68 53 11 14 7 12 14 "西甲" "替补" 78
"Jon Ander Serantes Simón" 26 182.88 168 "莱加内斯" "替补" "右脚" 3 1 1 17 18 19 21 13 16 22 13 39 25 55 65 58 72 41 44 72 44 52 14 27 11 13 33 18 28 18 20 23 81 72 74 71 77 "其他" "替补" 76
"Víctor Laguardia Cisneros" 26 185.42 165 "阿拉维斯" "右中后卫" "右脚" 3 2 1 42 49 71 68 29 35 38 35 56 57 58 66 51 67 57 35 76 84 80 30 89 76 44 46 32 71 76 77 74 14 12 13 9 10 "西甲" "后场" 76
"Víctor Camarasa Ferrando" 22 182.88 168 "阿拉维斯" "前腰" "右脚" 3 3 1 59 66 57 79 59 72 57 66 74 80 65 61 67 69 69 76 72 75 76 69 72 70 68 76 56 69 58 73 68 14 9 11 11 8 "西甲" "中场" 76
"Aythami Artiles Oliva" 30 182.88 172 "拉斯帕尔马斯" "主力替补" "右脚" 3 2 1 45 43 75 73 47 45 44 41 71 58 33 50 56 68 56 38 76 74 80 37 79 73 42 39 36 57 77 81 72 6 14 6 9 11 "其他" "替补" 73
"Adrián González Morales" 28 182.88 168 "埃瓦尔" "前腰" "左脚" 3 3 1 69 75 70 76 51 76 81 69 71 81 61 64 67 78 66 58 65 73 62 70 70 68 73 74 78 64 59 70 68 6 15 12 6 7 "其他" "中场" 74
"Álvaro Cejudo Carmona" 32 180.34 172 "皇家贝蒂斯" "主力替补" "右脚" 5 3 1 78 61 53 70 67 80 73 61 72 82 76 77 76 82 65 81 63 73 70 67 80 51 77 61 50 71 41 55 53 11 6 16 12 6 "西甲" "替补" 74
"Raúl Rodríguez Navas" 28 185.42 183 "皇家社会" "右中后卫" "右脚" 3 2 1 48 36 79 60 44 25 34 65 53 61 55 53 55 61 65 72 75 52 76 41 85 70 39 46 46 58 77 83 80 10 16 9 12 10 "西甲" "后场" 76
"Julián Omar Ramos Suárez" 28 175.26 148 "莱加内斯" "主力替补" "左脚" 3 4 1 78 63 46 74 54 81 84 61 67 77 83 78 85 65 80 62 67 70 56 70 58 30 69 76 73 70 27 32 35 6 13 16 14 10 "其他" "替补" 75
"Javier Espinosa González" 23 175.26 154 "莱万特" "前腰" "右脚" 4 3 1 73 65 50 80 62 81 76 72 72 79 77 72 76 71 82 59 53 72 55 67 49 58 66 79 66 69 58 62 52 13 11 11 14 8 "西甲" "中场" 76
"Omar Mascarell González" 23 180.34 163 "法兰克福" "右中中场" "右脚" 4 3 1 46 53 51 80 54 74 61 68 77 80 69 68 77 69 68 74 73 82 74 69 70 72 62 70 68 70 70 77 71 6 7 9 10 11 "德甲" "中场" 77
"Ibai Gómez Pérez" 26 177.8 159 "阿拉维斯" "左中场" "右脚" 4 3 1 77 73 47 73 75 81 85 81 75 80 77 75 82 64 77 82 64 69 65 78 63 45 70 75 65 67 45 58 55 14 8 13 7 11 "西甲" "中场" 76
"Adrián López Álvarez" 28 182.88 161 "比利亚雷亚尔" "主力替补" "右脚" 3 3 2 60 74 68 73 74 82 76 57 55 84 77 75 77 75 64 74 74 66 68 69 58 32 78 71 67 59 21 19 16 13 14 12 6 15 "西甲" "替补" 78
"Sergio Sánchez Ortega" 30 185.42 168 "喀山红宝石" "主力替补" "右脚" 2 2 1 69 53 71 63 51 44 35 30 60 69 66 67 68 71 60 59 72 79 79 41 76 79 60 60 47 70 80 77 75 12 15 6 12 11 "其他" "替补" 74
"Aleix Vidal Parreu" 26 177.8 154 "巴塞罗那" "主力替补" "右脚" 4 3 2 75 67 58 78 48 81 69 46 64 82 89 93 78 78 77 84 82 66 68 59 80 73 66 70 51 71 68 69 73 8 7 8 12 12 "西甲" "替补" 76
"Alberto Moreno Pérez" 23 170.18 143 "利物浦" "主力替补" "左脚" 3 2 1 79 65 61 74 35 77 59 40 64 81 89 89 86 68 87 80 85 85 63 74 83 68 73 58 54 57 62 71 76 10 14 9 10 11 "英超" "替补" 77
"Diego Rico Salguero" 23 182.88 168 "莱加内斯" "左后卫" "左脚" 2 2 1 76 38 69 70 53 66 71 69 57 67 74 82 69 65 70 82 74 92 76 72 70 77 59 63 43 64 68 74 76 10 9 15 11 10 "其他" "后场" 76
"Marc Muniesa Martínez" 24 177.8 159 "斯托克城" "主力替补" "左脚" 3 2 1 67 42 70 72 32 63 66 40 56 73 54 68 62 70 66 46 83 74 68 37 78 78 61 61 50 74 74 78 77 14 12 16 15 10 "其他" "替补" 77
"Alejandro Arribas Garrido" 27 182.88 163 "拉科鲁尼亚" "主力替补" "右脚" 2 2 2 57 44 71 70 14 48 40 32 58 68 53 60 54 70 61 45 83 65 78 15 81 77 26 40 37 61 74 75 73 12 15 7 9 16 "其他" "替补" 74
"Juan Miguel Jiménez López" 23 170.18 139 "皇家社会" "主力替补" "右脚" 3 3 1 64 71 66 72 65 78 60 57 52 74 77 74 76 81 79 68 75 67 51 68 55 23 83 72 62 70 25 28 25 11 6 9 12 9 "西甲" "替补" 77
"David Juncà Reñé" 22 175.26 148 "埃瓦尔" "主力替补" "左脚" 3 2 1 77 35 54 66 43 64 69 58 61 71 85 81 77 67 79 61 74 86 66 46 75 74 55 48 55 51 71 69 76 10 9 16 8 9 "其他" "替补" 74
"David Rodríguez Lombán" 29 185.42 172 "格拉纳达" "右中后卫" "右脚" 3 2 1 39 56 71 74 44 51 73 72 80 67 38 35 54 68 45 81 65 69 81 49 81 76 36 53 69 67 74 78 67 6 13 13 16 15 "西甲" "后场" 74
"Iván Cuéllar Sacristán" 32 187.96 181 "希洪竞技" "守门员" "左脚" 2 1 1 35 15 13 23 21 14 25 20 28 13 59 43 57 72 46 24 65 44 65 22 28 18 12 42 25 26 10 11 15 73 75 77 72 77 "其他" "守门员" 75
"José Luis Sanmartín Mato" 26 193.04 176 "拉科鲁尼亚" "主力替补" "右脚" 3 3 1 58 73 80 70 75 74 76 71 49 75 65 67 69 74 53 77 70 68 76 71 57 19 78 68 72 53 17 24 15 11 11 8 15 7 "其他" "替补" 75
"José Ignacio Peleteiro Ramallo" 25 180.34 154 "布伦特福德" "右边锋" "左脚" 3 3 1 75 74 43 79 43 77 74 69 75 81 73 69 75 67 69 68 58 67 59 69 49 29 73 76 64 66 14 26 16 14 14 13 6 8 "英超" "前场" 72
"Miguel Torres Gómez" 30 182.88 163 "马拉加" "主力替补" "右脚" 4 2 1 70 22 65 69 30 57 56 58 59 74 59 60 56 73 62 56 69 75 75 47 75 79 44 56 36 67 78 81 80 10 13 8 13 10 "其他" "替补" 73
"David García Zubiría" 22 185.42 159 "奥萨苏纳" "中后卫" "右脚" 3 2 1 53 35 76 73 37 61 33 38 66 75 58 66 51 70 64 43 78 75 71 25 80 77 58 52 43 55 70 75 73 11 16 7 7 8 "西甲" "后场" 74
"Carles Planas Antolínez" 25 172.72 168 "塞尔塔" "主力替补" "左脚" 3 2 1 77 32 61 70 23 63 59 50 58 72 79 76 72 74 81 49 86 80 66 37 73 75 57 47 51 60 74 68 73 15 11 15 12 14 "西甲" "替补" 74
"Pablo Ínsua Blanco" 22 182.88 165 "莱加内斯" "左中后卫" "右脚" 3 2 1 37 36 74 73 34 44 42 23 62 63 54 61 55 67 64 43 74 73 74 29 70 72 41 52 32 45 78 77 76 9 6 7 13 14 "其他" "后场" 75
"Edgar Antonio Méndez Ortega" 25 187.96 168 "阿拉维斯" "右中场" "右脚" 2 3 1 76 72 64 70 74 75 72 33 66 74 85 86 75 64 66 75 68 72 81 66 74 42 72 70 68 61 32 45 34 13 16 11 6 14 "西甲" "中场" 75
"Jorge Franco Alviz" 22 182.88 161 "希洪竞技" "左中场" "右脚" 3 3 1 74 69 55 74 52 77 76 64 59 77 77 80 66 72 62 65 57 80 59 66 33 38 75 69 59 32 24 28 21 6 8 10 12 10 "其他" "中场" 75
"Munir El Haddadi Mohamed" 20 175.26 152 "瓦伦西亚" "右边锋" "左脚" 2 4 1 60 76 69 73 71 81 60 45 52 80 80 84 79 68 78 72 62 60 63 73 36 13 75 59 66 53 26 24 22 9 12 6 13 16 "其他" "前场" 76
"Asier Riesgo Unamuno" 32 185.42 168 "埃瓦尔" "守门员" "右脚" 3 1 1 25 13 14 32 14 12 25 15 33 15 54 55 51 63 58 23 60 41 68 22 34 22 12 33 13 61 13 12 12 78 78 64 77 72 "其他" "守门员" 73
"Joaquín Navarro Jiménez" 26 177.8 157 "阿尔梅利亚" "右中后卫" "右脚" 3 2 1 69 36 69 73 25 63 61 42 61 69 78 82 73 71 72 64 83 87 71 55 80 73 61 59 48 57 74 75 77 7 11 16 9 15 "其他" "后场" 74
"Daniel Castellano Betancor" 28 180.34 152 "拉斯帕尔马斯" "左后卫" "左脚" 3 2 1 77 46 60 74 45 75 67 47 62 73 78 77 72 72 76 60 73 86 77 53 67 68 63 62 48 64 68 73 75 6 7 15 14 11 "其他" "后场" 74
"Oriol Romeu Vidal" 24 182.88 183 "南安普顿" "后腰" "右脚" 3 2 1 37 25 65 78 22 55 49 53 71 71 66 55 60 66 59 60 67 75 84 43 83 76 50 70 54 72 73 77 68 12 14 10 11 16 "其他" "中场" 78
"Rubén Blanco Veiga" 20 187.96 154 "塞尔塔" "主力替补" "右脚" 3 1 1 18 18 15 35 19 17 18 13 29 10 54 52 52 66 57 25 62 44 35 15 22 22 11 33 22 30 22 11 11 79 74 69 75 71 "西甲" "替补" 77
"Pedro Tanausú Domínguez Placeres" 25 167.64 152 "拉斯帕尔马斯" "右中场" "右脚" 4 4 1 63 74 28 76 56 82 66 59 67 75 72 69 78 70 87 65 55 68 53 62 26 15 77 78 64 65 17 20 15 7 11 7 8 14 "其他" "中场" 75
"Sabin Merino Zuloaga" 24 185.42 176 "毕尔巴鄂竞技" "主力替补" "右脚" 3 3 1 72 76 80 66 71 80 67 66 62 75 75 81 61 71 51 64 62 59 65 69 56 42 80 72 69 76 20 55 43 13 8 9 9 13 "西甲" "替补" 75
"Mikel Merino Zazón" 20 187.96 174 "多特蒙德" "主力替补" "左脚" 3 2 1 59 62 79 79 58 76 68 69 74 80 63 65 64 71 54 63 68 71 74 67 78 74 70 73 58 66 59 76 65 9 12 9 13 14 "德甲" "替补" 75
"Carlos Soler Barragán" 19 182.88 159 "瓦伦西亚" "主力替补" "右脚" 3 3 1 69 70 56 77 63 71 69 77 76 75 74 75 59 74 58 69 56 68 59 73 49 69 61 80 80 48 68 65 56 6 14 7 13 11 "其他" "替补" 78
"Aritz Elustondo Irribaria" 22 182.88 159 "皇家社会" "主力替补" "右脚" 3 2 1 67 26 74 66 30 48 53 41 39 70 68 74 59 75 62 40 73 81 66 40 73 77 36 32 43 51 77 75 78 7 10 12 15 8 "西甲" "替补" 76
"Jaume Doménech Sánchez" 25 187.96 168 "瓦伦西亚" "守门员" "右脚" 3 1 1 30 11 16 32 22 13 25 13 32 32 58 58 60 69 59 42 72 59 68 22 21 25 16 43 25 22 11 12 31 74 73 70 72 79 "其他" "守门员" 76
"Mikel Rico Moreno" 31 177.8 168 "毕尔巴鄂竞技" "主力替补" "右脚" 4 3 1 55 59 55 77 53 60 52 63 73 73 60 54 68 82 73 80 79 81 76 58 72 79 68 76 60 82 58 79 74 15 7 10 9 9 "西甲" "替补" 76
"Alexander Alegría Moreno" 23 187.96 181 "皇家贝蒂斯" "主力替补" "右脚" 3 3 1 47 78 78 62 80 71 66 22 39 74 55 57 66 76 48 74 66 63 80 68 53 19 78 48 59 53 22 20 25 13 8 13 13 6 "西甲" "替补" 70
"Tomás Pina Isla" 28 185.42 165 "布鲁日" "主力替补" "右脚" 3 3 1 52 52 67 78 59 73 64 60 76 78 62 60 69 75 60 73 68 65 78 64 79 77 70 74 59 59 61 76 68 8 12 11 7 15 "其他" "替补" 73
"Isaac Becerra Alguacil" 28 180.34 176 "巴拉多利德" "守门员" "右脚" 2 1 1 19 13 20 39 16 13 25 20 36 19 50 55 70 73 55 23 83 43 57 12 23 27 17 23 25 39 13 21 19 78 72 69 70 77 "其他" "守门员" 74
"José Alberto Cañas Ruíz-Herrera" 29 177.8 165 "帕奥克" "主力替补" "右脚" 3 2 1 53 35 50 74 27 48 47 56 72 68 65 62 57 75 73 54 71 74 73 58 84 80 57 67 47 69 68 79 71 14 12 9 11 9 "其他" "替补" 75
"Antonio Manuel Luna Rodríguez" 25 177.8 150 "埃瓦尔" "左后卫" "左脚" 3 2 1 73 59 59 75 56 68 58 45 63 75 73 75 67 67 69 78 80 83 75 55 82 68 61 50 43 66 67 77 80 6 12 5 15 8 "其他" "后场" 74
"Carlos Martínez Díaz" 30 187.96 174 "皇家社会" "主力替补" "右脚" 2 2 1 83 45 71 69 41 64 72 47 71 73 56 67 55 69 42 57 40 71 78 61 46 78 53 63 43 48 72 76 80 11 6 12 13 7 "西甲" "替补" 74
"Álvaro Medrán Just" 22 175.26 150 "瓦伦西亚" "主力替补" "右脚" 4 2 1 68 58 47 81 57 71 70 76 80 77 59 59 69 71 71 81 59 61 58 80 49 65 66 77 80 58 65 66 59 13 14 13 12 10 "其他" "替补" 75
"Samuel Sáiz Alonso" 25 172.72 150 "韦斯卡" "前腰" "右脚" 4 3 1 66 70 41 78 62 78 79 73 69 77 76 69 74 65 83 67 71 60 59 74 52 16 64 78 75 69 20 30 14 9 9 14 15 15 "其他" "中场" 75
"Manuel Alejandro García Sánchez" 30 182.88 163 "阿拉维斯" "左后腰" "左脚" 3 2 1 65 60 67 75 42 59 52 54 69 67 54 64 64 74 63 74 78 83 76 46 91 79 58 58 71 72 62 78 72 8 14 9 7 11 "西甲" "中场" 75
"Miguel Ángel Guerrero Martín" 25 180.34 174 "莱加内斯" "中锋" "右脚" 3 3 1 46 75 75 70 74 66 66 50 61 70 68 74 64 75 71 78 69 72 62 62 80 32 76 63 69 81 23 41 33 11 6 11 16 12 "其他" "前场" 74
"José Manuel García Naranjo" 21 182.88 159 "KRC亨克" "主力替补" "右脚" 4 3 1 68 78 64 66 58 77 67 64 62 75 83 83 78 73 59 71 67 59 66 72 39 14 74 66 66 71 19 23 17 10 12 15 14 7 "其他" "替补" 73
"Jaime Romero Gómez" 25 175.26 170 "奥萨苏纳" "主力替补" "左脚" 2 3 1 65 68 55 75 60 83 71 55 58 75 76 77 75 67 75 58 70 65 61 61 49 42 72 74 59 70 28 36 33 6 8 14 9 13 "西甲" "替补" 74
"Saúl Berjón Pérez" 30 177.8 183 "奥维多" "左中场" "右脚" 4 3 1 76 65 43 72 81 76 75 71 71 75 77 74 73 68 62 83 75 64 76 74 66 42 72 69 82 67 26 41 23 15 11 8 8 11 "其他" "中场" 75
"Miguel Flaño Bezunartea" 31 177.8 154 "奥萨苏纳" "主力替补" "右脚" 3 2 1 40 45 76 70 40 43 43 49 55 60 57 66 63 63 67 52 90 70 75 45 84 67 36 47 52 46 72 73 79 8 9 10 10 5 "西甲" "替补" 73
"Víctor Guillermo Álvarez Delgado" 23 177.8 152 "西班牙人" "主力替补" "左脚" 3 2 1 77 42 67 75 32 73 67 58 69 76 75 76 74 81 70 59 75 80 66 57 74 67 69 68 44 54 68 66 73 9 9 6 6 7 "西甲" "替补" 74
"Juan Carlos Pérez López" 26 177.8 159 "马拉加" "主力替补" "左脚" 2 3 1 78 55 57 76 80 72 76 50 69 78 76 81 78 81 68 73 67 76 62 64 76 69 75 53 55 74 68 67 71 10 9 11 8 6 "其他" "替补" 74
"Ayoze Pérez Gutiérrez" 22 177.8 146 "纽卡斯尔联" "主力替补" "右脚" 4 3 1 43 77 65 72 78 81 79 71 51 78 79 77 84 71 79 63 72 70 56 62 69 13 79 65 73 72 19 23 12 12 12 11 14 8 "英超" "替补" 75
"Víctor David Díaz Miguel" 28 182.88 159 "莱加内斯" "右后卫" "右脚" 3 2 1 74 58 72 71 35 64 59 51 56 72 66 74 58 71 64 65 87 89 72 49 73 68 59 64 42 56 65 72 76 14 8 10 13 12 "其他" "后场" 74
"Francisco José Olivas Alba" 27 187.96 183 "吉罗纳" "主力替补" "右脚" 3 2 1 44 56 71 64 53 49 30 36 56 66 40 53 55 71 50 59 60 91 89 36 68 72 59 49 38 72 76 81 67 8 8 15 7 14 "其他" "替补" 73
"Diego Mariño Villar" 26 185.42 165 "希洪竞技" "主力替补" "右脚" 3 1 1 22 17 20 30 22 14 14 11 30 13 45 51 47 70 53 23 76 33 62 24 19 20 11 30 23 30 16 15 14 75 71 69 72 77 "其他" "替补" 75
"Miguel Alfonso Herrero Javaloyas" 27 180.34 152 "巴拉多利德" "前腰" "右脚" 3 3 1 75 61 53 82 61 74 71 73 74 80 64 62 67 67 65 72 54 58 59 70 64 58 65 72 74 60 39 52 46 12 12 10 9 7 "其他" "中场" 73
"Víctor Rodríguez Romero" 26 167.64 143 "西雅图海湾人" "左中场" "右脚" 4 3 1 69 69 40 73 52 76 69 79 66 80 79 75 81 66 80 74 32 69 63 74 52 33 74 74 80 59 54 47 44 12 11 15 11 9 "其他" "中场" 73
"José Verdú Nicolás" 33 185.42 172 "奥维多" "中锋" "右脚" 4 3 1 52 78 79 63 74 65 61 58 46 68 59 57 62 71 61 79 80 68 78 68 62 36 80 63 73 75 24 37 27 12 6 12 15 11 "其他" "前场" 71
"Oriol Riera Magem" 29 185.42 168 "奥萨苏纳" "右中锋" "右脚" 3 3 1 45 74 77 64 67 66 59 57 57 70 67 70 63 79 68 76 70 67 68 68 73 41 76 65 63 71 17 31 21 12 12 8 11 10 "西甲" "前场" 73
"Yoel Rodríguez Oterino" 27 185.42 172 "埃瓦尔" "主力替补" "右脚" 3 1 1 24 14 10 31 23 13 25 15 35 14 35 43 40 68 47 23 62 34 70 21 35 19 13 45 25 48 10 15 11 73 74 75 71 76 "其他" "替补" 77
"Raúl García Carnero" 26 175.26 159 "阿拉维斯" "主力替补" "左脚" 3 2 1 76 58 61 72 54 62 75 73 68 70 75 76 78 68 82 72 77 87 71 64 74 72 62 65 64 64 72 73 74 13 6 11 15 9 "西甲" "替补" 74
"Pol Mikel Lirola Kosok" 18 182.88 154 "萨索洛" "右后卫" "右脚" 3 2 1 76 35 65 73 59 74 73 30 67 74 81 83 69 70 74 58 68 74 69 51 68 69 64 58 30 63 69 74 73 12 12 5 9 13 "其他" "后场" 74
"Sergio Postigo Redondo" 27 185.42 172 "莱万特" "左中后卫" "右脚" 3 2 1 28 41 69 64 42 48 30 26 56 59 62 66 55 67 52 55 76 65 83 31 78 73 30 29 40 58 77 74 74 13 13 7 7 10 "西甲" "后场" 74
"Javier Eraso Goñi" 26 180.34 157 "毕尔巴鄂竞技" "主力替补" "右脚" 3 2 1 64 74 54 80 59 68 53 59 76 71 63 66 52 84 59 70 73 86 68 67 82 67 81 68 53 80 49 64 57 10 15 9 9 14 "西甲" "替补" 74
"Raúl Albentosa Redal" 27 193.04 196 "拉科鲁尼亚" "右中后卫" "右脚" 3 2 1 41 51 72 63 66 32 32 45 62 54 32 47 36 70 26 54 68 67 92 31 84 73 30 42 42 59 73 78 64 12 15 11 12 11 "其他" "后场" 71
"José Manuel Rodríguez Benito" 24 182.88 163 "莱万特" "右中后卫" "左脚" 3 2 1 48 50 73 66 54 49 32 32 63 62 70 70 65 66 63 65 82 67 77 56 77 74 25 54 46 59 74 74 76 15 11 6 14 12 "西甲" "后场" 74
"Daniel Pacheco Lobato" 25 167.64 143 "赫塔菲" "左中场" "右脚" 3 3 1 63 69 47 74 62 80 83 80 71 82 78 75 88 70 90 59 78 75 58 68 48 33 61 72 69 61 26 28 23 12 8 10 13 12 "西甲" "中场" 74
"Francisco Femenía Far" 25 175.26 134 "阿拉维斯" "右后卫" "右脚" 3 3 1 74 66 52 73 54 79 65 55 54 78 78 81 85 64 86 56 69 82 67 65 70 71 68 66 60 58 63 75 77 16 15 7 15 11 "西甲" "后场" 76
"Enrique García Martínez" 26 185.42 174 "埃瓦尔" "主力替补" "右脚" 4 2 1 51 77 77 67 75 71 42 46 49 75 65 73 64 65 55 77 73 71 78 62 71 34 74 62 70 60 15 29 17 7 9 8 13 13 "其他" "替补" 75
"Marc Roca Junqué" 19 182.88 163 "西班牙人" "主力替补" "左脚" 3 2 1 61 59 42 80 44 71 66 52 74 75 57 59 66 70 60 43 56 71 64 65 69 71 60 73 55 58 70 75 73 12 11 11 10 8 "西甲" "替补" 74
"José Ángel Valdés Díaz" 26 182.88 170 "比利亚雷亚尔" "主力替补" "左脚" 3 3 1 77 42 59 68 42 68 72 67 61 71 73 77 73 73 59 69 67 74 65 57 69 74 60 56 45 59 69 73 76 12 13 10 16 13 "西甲" "替补" 75
"Alberto Tomás Botía Rabasco" 27 187.96 176 "奥林匹亚科斯" "右中后卫" "右脚" 2 2 1 44 56 78 60 30 51 49 32 67 62 55 62 61 57 51 74 75 72 83 46 84 72 53 44 29 59 72 73 71 12 13 16 8 8 "其他" "后场" 73
"Antonio García Aranda" 26 177.8 152 "莱万特" "左后卫" "左脚" 3 2 1 82 49 49 73 44 73 81 59 66 76 82 85 74 71 75 58 68 78 64 61 58 71 63 62 62 73 66 70 73 15 13 7 10 15 "西甲" "后场" 75
"Oier Sanjurjo Maté" 30 177.8 159 "奥萨苏纳" "右中后卫" "右脚" 2 2 1 64 61 68 73 44 64 61 45 65 74 72 74 66 73 72 64 78 88 72 62 85 76 69 73 56 61 69 73 70 10 7 6 6 5 "西甲" "后场" 74
"Roberto Román Triguero" 30 175.26 148 "莱加内斯" "主力替补" "右脚" 3 2 1 77 43 58 68 36 65 40 42 67 69 72 74 73 69 80 59 78 83 63 36 69 74 48 58 44 59 69 74 76 11 12 16 10 14 "其他" "替补" 73
"Juan Villar Vázquez" 28 182.88 168 "巴拉多利德" "主力替补" "右脚" 4 3 1 70 72 58 68 62 74 77 73 58 71 92 91 83 73 70 73 89 72 60 63 69 35 73 69 62 67 28 22 27 6 6 7 7 12 "其他" "替补" 74
"Alberto de la Bella Madureño" 30 182.88 181 "奥林匹亚科斯" "主力替补" "左脚" 2 2 1 71 45 59 75 32 67 67 38 71 71 70 71 75 68 64 57 66 74 69 68 65 80 58 61 49 56 73 74 74 16 10 8 12 6 "其他" "替补" 74
"David Omar Rodríguez Barrera" 27 187.96 161 "科尔多瓦" "左中后卫" "右脚" 3 2 1 46 28 70 74 38 69 61 33 64 80 59 70 72 64 56 60 59 80 75 39 73 76 42 61 49 60 71 74 80 14 10 14 15 15 "其他" "后场" 73
